feature_index,mean_abs_shap
4831,7.821718016503882e+17
5013,7.793133278992787e+17
1064,7.767556111913371e+17
5381,7.74394519400681e+17
2662,7.709561729217697e+17
525,7.708425173597279e+17
4351,7.678907532465765e+17
3449,7.633047573229597e+17
5005,7.594239271051645e+17
5678,7.573747737889993e+17
1702,7.551814830966116e+17
5667,7.511956572986999e+17
1549,7.174594339284717e+17
5657,7.006529017338412e+17
5677,6.953675271174652e+17
3384,6.076889294202592e+17
628,5.914227880611973e+17
5672,5.765126357669938e+17
5638,5.724289112894544e+17
5651,5.7011330533617805e+17
5654,5.660307178285389e+17
4322,5.515885261588523e+17
4588,5.4298473661837504e+17
2997,5.327835012555749e+17
5552,5.2513702544428454e+17
5671,5.209241466442959e+17
4754,5.169692270946082e+17
5663,5.164753131902892e+17
5637,5.16047221853646e+17
84,5.13188686037296e+17
1535,5.0539499172086234e+17
1089,5.0412459473464474e+17
3760,4.957122947822858e+17
170,4.939612134196186e+17
3626,4.8680771685748346e+17
5675,4.8237748623541005e+17
5674,4.800327311659194e+17
4508,4.6990524356819034e+17
5660,4.6448175842978374e+17
4100,4.60471841489689e+17
5609,4.581028035703294e+17
5668,4.533039022501761e+17
4538,4.532868744010402e+17
5670,4.456206273437249e+17
5645,4.448871681480449e+17
4589,4.442869130563229e+17
2453,4.4383000679315366e+17
5648,4.4270317343584083e+17
4377,4.375271391123847e+17
5587,4.366609012622032e+17
2223,4.328071618427672e+17
5529,4.0501340160331674e+17
4214,4.0147028529204685e+17
3003,3.9765718887791315e+17
3621,3.935575936393697e+17
1926,3.9340086613912096e+17
885,3.859062664314625e+17
5330,3.838554745770351e+17
5441,3.8201682362840877e+17
5314,3.816132578333592e+17
1667,3.809333586275408e+17
2732,3.771678339969009e+17
3892,3.7534655611938176e+17
4358,3.727616341704605e+17
420,3.7203124488166566e+17
394,3.7193818980510554e+17
3534,3.6916863158228576e+17
1666,3.6667352136263885e+17
1078,3.6388358259768326e+17
1956,3.638734845595151e+17
2307,3.5795549027844595e+17
666,3.440385748269121e+17
374,3.4383824460085005e+17
797,3.3773445080032256e+17
160,3.313531570845795e+17
3156,3.3093941651701203e+17
5422,3.300747571355322e+17
766,3.297821761459209e+17
2561,3.26655345560706e+17
1789,3.235849970247081e+17
2226,3.215550739100954e+17
5421,3.1914394121344915e+17
2542,3.1764425794153536e+17
3365,3.162143986415373e+17
4597,2.945050759776731e+17
3345,2.8295913559160592e+17
2914,2.8123242022323053e+17
959,2.7848281804077814e+17
4281,2.757821737557731e+17
2942,2.722780277661549e+17
4470,2.6950418380172e+17
3945,2.663690856927808e+17
1589,2.599733374526236e+17
4572,2.3707874198272733e+17
254,2.310716668704507e+17
59,2.2843947390726902e+17
74,2.2619306428419325e+17
5273,2.236175882678684e+17
966,2.2111037896647443e+17
1918,2.165563013449099e+17
1351,2.1594108464884627e+17
3,2.157899617024269e+17
36,2.149428207760602e+17
2833,2.100598305939026e+17
1482,2.0935345976452598e+17
2516,2.0581476546933974e+17
1297,2.0086507737910752e+17
986,1.996566549162672e+17
1465,1.986282896950502e+17
8,1.9708169582148026e+17
1664,1.9534374599654413e+17
5254,1.8945459489604595e+17
2882,1.87707388845796e+17
